,lines,target
77,"Far too crowded at the moment. We
have time for that, Solomon. All
day. A great man has passed.
Remember him with a drink.",1
78,Both Hamilton and Brown hold up their canters to drink.,0
79,"Solomon, a bit reluctantly, does the same.",0
80,"Another. Our departed President
deserves all the salutation we can
imbibe.",1
81,"Hamilton and Brown drink again, and Solomon does as well.",0
82,"That's all right Solomon. No shame
in it. No shame at all.",1
83,Just let those ill feelings out.,1
84,Suppose we won't be going to the Presidential Mansion. Shame.,1
85,"Hamilton is placing a spittoon near Solomon's bed, where a prone and reeling Solomon lays. Hamilton sits on the bed. As he strokes Solomon's sweaty face, Hamilton speaks sweetly.",0
86,Hamilton! Nothing more we can do for him,1
87,"Two white guys sit in a Marlboro Maroon '67 Corvette,
sporting weak moustaches. SCHMIDT, 23, awkwardly applies a
fake scar to his forehead with spirit gum.",0
88,Got your backstory down?,1
89,"JENKO, 23, scratches his chin in chimplike fashion.",0
90,This is a bad idea.,1
91,"Look, it couldn't be easier. At no
point do we even consider resorting
to ""Midnight Baboon"".",1
92,"Jenko observes Schmidt. Schmidt just sits there. Jenko
snorts, throws his car door open and heads for the house.",0
93,"Just observe my natural theatrical
ability and follow my lead.",1
94,Schmidt catches up with Jenko in a driveway of a scary house.,0
95,"Saying ""Mexican"" is racist.",1
96,"What else am I supposed to call
someone from Mexico?",1
97,"The Cholita stares at Jenko, defiant.",0
98,"FIVE MEXICAN BANGERS stare across the table. JESUS CRISTO,
15, spider web tattooed across his head, Atlanta Falcons
jersey with ""R. MEXICO"" on the back, mad dogs Schmidt.",0
99,Jenko winks at Schmidt.,0
100,Yeah. But not by a dick. Yet.,1
